                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.61424,                0.47866,                 1.1312,                0.92216,                0.87457,                 0.9386,                0.77967,                0.74942,                0.53352,                 1.1835,              0.0048025,              0.0048025,              0.0048025
                    108,                0.61069,                0.47764,                 1.1266,                0.91931,                0.87695,                0.93897,                0.78036,                0.74888,                0.53142,                 1.1832,               0.004753,               0.004753,               0.004753
                    109,                 0.6132,                 0.4817,                 1.1279,                0.91924,                0.87696,                0.93932,                0.78071,                0.74847,                0.52908,                 1.1833,              0.0047035,              0.0047035,              0.0047035
                    110,                0.60587,                 0.4713,                 1.1286,                0.91731,                0.87802,                0.93959,                0.78121,                0.74805,                0.52819,                 1.1836,               0.004654,               0.004654,               0.004654
                    111,                0.60473,                0.47232,                 1.1252,                 0.9181,                0.87768,                0.93984,                0.78148,                0.74728,                0.52565,                 1.1832,              0.0046045,              0.0046045,              0.0046045
                    112,                0.60991,                 0.4677,                 1.1238,                0.91871,                 0.8788,                0.93977,                0.78166,                0.74636,                0.52436,                 1.1824,               0.004555,               0.004555,               0.004555
                    113,                0.60039,                0.47361,                 1.1188,                 0.9187,                0.87945,                 0.9399,                0.78189,                0.74575,                0.52197,                 1.1821,              0.0045055,              0.0045055,              0.0045055
                    114,                0.59978,                0.46679,                 1.1197,                0.91414,                0.88588,                0.94094,                0.78253,                0.74474,                 0.5205,                 1.1816,               0.004456,               0.004456,               0.004456
                    115,                0.59034,                0.46627,                 1.1172,                0.91617,                0.88647,                0.94107,                0.78254,                 0.7436,                0.51964,                  1.181,              0.0044065,              0.0044065,              0.0044065
                    116,                0.58737,                0.45819,                 1.1134,                0.91566,                0.88618,                 0.9404,                0.78292,                0.74297,                0.51876,                 1.1808,               0.004357,               0.004357,               0.004357
